sep=	
Project Name:	C:\Users\gries\Documents\Projects\Lasco\CControl_Lite\PLC\CControl_Lite.plcprj
Export Date/Time:	2026/03/19 18:05:26
RowType	Name	Type	ElementType	Dimensions	InitialValue	RetentiveEnabled	FolderName	BindType	BindObject	BindField	BindIsArray	BindValue	BindDirection	BindConverter	HasInputRange	MinValue	MaxValue	Target	Source	AddressEnabled	Address	HasBinding	VariableLength	NumberOfBytes	StringEncode	HasAlarm	AlarmType	HiHiThresholdState	HiHiThreshold	HiHiThresholdValue	HiHiThresholdDeadBand	HiHiThresholdAlarmGroup	HiHiThresholdMessageMode	HiHiThresholdMessage	HiHiThresholdSeverity	HiHiThresholdParameter	HiThresholdState	HiThreshold	HiThresholdValue	HiThresholdDeadBand	HiThresholdAlarmGroup	HiThresholdMessageMode	HiThresholdMessage	HiThresholdSeverity	HiThresholdParameter	LoThresholdState	LoThreshold	LoThresholdValue	LoThresholdDeadBand	LoThresholdAlarmGroup	LoThresholdMessageMode	LoThresholdMessage	LoThresholdSeverity	LoThresholdParameter	LoloThresholdState	LoloThreshold	LoloThresholdValue	LoloThresholdDeadBand	LoloThresholdAlarmGroup	LoloThresholdMessageMode	LoloThresholdMessage	LoloThresholdSeverity	LoloThresholdParameter	ThresholdState	ThresholdType	ThresholdCondition	ThresholdAlarmGroup	ThresholdMessageMode	ThresholdMessage	ThresholdSeverity	ThresholdParameter	DataSharing	LoggingGroup	Comments	
Variable	CControl_Lite_Ausstattung_Box2	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416384,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Ausstattung_Luftaufbereiter	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416385,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Ausstattung_SensorFrischluft	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416386,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Ausstattung_SensorAbluftBox1	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416387,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Ausstattung_SensorAbluftBox2	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416388,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Ausstattung_SensorTrockenluft	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416389,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Ausstattung_SensorStocktemp	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416390,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_FilterzeitFrischluft	UINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416391"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_FilterzeitAbluft	UINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416392"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_FrischlTempMessberMin	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416393"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_FrischlTempMessberMax	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416395"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_AbluftTempMessberMin	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416397"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_AbluftTempMessberMax	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416399"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_AbluftFeuchtMessberMin	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416401"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_AbluftFeuchtMessberMax	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416403"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_TrockenlTempMessberMin	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416405"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_TrockenlTempMessberMax	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416407"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_TrockenlFeuchtMessberMin	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416409"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_TrockenlFeuchtMessberMax	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416411"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetFrischluftTemp	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416413"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetFrischluftFeuchte	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416415"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetAbluftBox1Temp	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416417"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetAbluftBox1Feuchte	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416419"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetAbluftBox2Temp	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416421"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetAbluftBox2Feuchte	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416423"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetTrockenluftTemp	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416425"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetTrockenluftFeuchte	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416427"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetStocktemp	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416429"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Ausstattung_Abluftventilator	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416431,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_FrischlFeuchteMessberMin	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416432"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_FrischlFeuchteMessberMax	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416434"	False	False										Direct									Direct									Direct									Direct									Direct			None		
